Date,Open,High,Low,Close,Volume,Currency,name
2021-08-06,4429.07,4440.82,4429.07,4436.52,0,USD,S&P 500
2021-08-09,4437.77,4439.39,4424.74,4432.35,0,USD,S&P 500
2021-08-10,4435.79,4445.21,4430.03,4436.75,0,USD,S&P 500
2021-08-11,4442.18,4449.44,4436.42,4447.7,0,USD,S&P 500
2021-08-12,4446.08,4461.77,4435.96,4460.84,0,USD,S&P 500
2021-08-13,4464.84,4468.37,4460.82,4468.0,0,USD,S&P 500
2021-08-16,4461.65,4480.26,4437.66,4479.66,0,USD,S&P 500
2021-08-17,4462.12,4462.12,4417.83,4448.08,0,USD,S&P 500
2021-08-18,4440.94,4454.32,4397.59,4400.27,0,USD,S&P 500
2021-08-19,4382.44,4418.61,4367.73,4405.8,0,USD,S&P 500
2021-08-20,4410.56,4444.35,4406.8,4441.67,0,USD,S&P 500
2021-08-23,4450.29,4489.88,4450.29,4479.54,0,USD,S&P 500
2021-08-24,4484.4,4492.81,4482.28,4486.23,0,USD,S&P 500
2021-08-25,4490.45,4501.71,4485.66,4496.19,0,USD,S&P 500
2021-08-26,4493.75,4495.9,4468.99,4469.91,0,USD,S&P 500
2021-08-27,4474.1,4513.33,4474.1,4509.37,0,USD,S&P 500
2021-08-30,4513.76,4537.36,4513.76,4528.79,0,USD,S&P 500
2021-08-31,4529.75,4531.39,4515.8,4522.68,0,USD,S&P 500
2021-09-01,4528.8,4537.11,4522.02,4524.09,0,USD,S&P 500
2021-09-02,4534.48,4545.85,4524.66,4536.95,0,USD,S&P 500
2021-09-03,4532.42,4541.45,4521.3,4535.43,0,USD,S&P 500
2021-09-07,4535.38,4535.38,4513.0,4520.03,0,USD,S&P 500
2021-09-08,4518.09,4521.79,4493.95,4514.07,0,USD,S&P 500
2021-09-09,4513.02,4529.9,4492.07,4493.28,0,USD,S&P 500
2021-09-10,4506.92,4520.47,4457.66,4458.58,0,USD,S&P 500
2021-09-13,4474.81,4492.99,4445.7,4468.73,0,USD,S&P 500
2021-09-14,4479.33,4485.68,4435.46,4443.05,0,USD,S&P 500
2021-09-15,4447.49,4486.87,4438.37,4480.7,0,USD,S&P 500
2021-09-16,4477.09,4485.87,4443.8,4473.76,0,USD,S&P 500
2021-09-17,4469.74,4471.52,4427.76,4432.99,0,USD,S&P 500
2021-09-20,4402.95,4402.95,4305.91,4357.73,0,USD,S&P 500
2021-09-21,4374.45,4394.87,4347.96,4354.18,0,USD,S&P 500
2021-09-22,4367.43,4416.75,4367.43,4395.64,0,USD,S&P 500
2021-09-23,4406.75,4465.4,4406.75,4448.98,0,USD,S&P 500
2021-09-24,4438.04,4463.12,4430.27,4455.48,0,USD,S&P 500
2021-09-27,4442.12,4457.3,4436.19,4443.11,0,USD,S&P 500
2021-09-28,4419.54,4419.54,4346.33,4352.63,0,USD,S&P 500
2021-09-29,4362.41,4385.57,4355.08,4359.46,0,USD,S&P 500
2021-09-30,4370.67,4382.55,4306.24,4307.54,0,USD,S&P 500
2021-10-01,4317.16,4375.19,4288.52,4357.05,0,USD,S&P 500
2021-10-04,4348.84,4355.51,4278.94,4300.46,0,USD,S&P 500
2021-10-05,4309.87,4369.23,4309.87,4345.72,0,USD,S&P 500
2021-10-06,4319.57,4365.57,4290.49,4363.55,0,USD,S&P 500
2021-10-07,4383.73,4429.97,4383.73,4399.76,0,USD,S&P 500
2021-10-08,4406.51,4412.02,4386.22,4391.36,0,USD,S&P 500
